Country,Company Name,Year,Sector,DealType,DealSubtype, Proceeds ($ millions) ,RealSector
Hungary,BCCSÉPSZER Rt.,1994,Manufacturing & Services,,, 0.54 ,Construction
Hungary,ORSZAK-BORSOD Kft.,1994,Manufacturing & Services,,, 0.55 ,Construction
Hungary,Mosoni Kenyér Sütôipari Rt.,1994,Manufacturing & Services,,, 0.59 ,Manufacturing
Hungary,Lampart Budafoki Zománc Ipari és Kereskedelmi Kft.,1994,Manufacturing & Services,,, 0.61 ,Manufacturing
Hungary,BETA AGRO Kft,1994,Manufacturing & Services,,, 0.62 ,Agriculture
Hungary,SALGOGÉP Acélszerkezetek Kft.,1994,Manufacturing & Services,,, 0.64 ,Manufacturing
Hungary,MARYLLA Bôrdíszmlgyártó és Kereskedelmi Kft.,1994,Manufacturing & Services,,, 0.67 ,Manufacturing
Hungary,HARTECH Hiradástechnikai és Finommechanikai Rt.,1994,Manufacturing & Services,,, 0.69 ,Manufacturing
Hungary,Elektromos Készülékek és Anyagok Gyára Rt.,1994,Manufacturing & Services,,, 0.69 ,Manufacturing
Hungary,KIPSZER Építési Rt.,1994,Manufacturing & Services,,, 0.69 ,Construction
Hungary,Szentgotthárdi Kaszagyár Rt.,1994,Manufacturing & Services,,, 0.73 ,Manufacturing
Hungary,Szikra Lapnyomda Részvénytársaság,1994,Manufacturing & Services,,, 0.75 ,Manufacturing
Hungary,AGRIKON Tiszakécskei Gépgyártó Kft.,1994,Manufacturing & Services,,, 0.77 ,Manufacturing
Hungary,Editio Musica Budapest Zenemlkiadó Kft.,1994,Manufacturing & Services,,, 0.77 ,Manufacturing
Hungary,Devecseri Téglaipari Kft.,1994,Manufacturing & Services,,, 0.84 ,Manufacturing
Hungary,"Keletmagyarországi Vállalkozási, Építôip.-i és Keresk.-i Kft",1994,Manufacturing & Services,,, 1.00 ,Construction
Hungary,VULKCN Öntödei Kft.,1994,Manufacturing & Services,,, 0.98 ,Manufacturing
Hungary,Szerencsi Cukorgyár RT,1994,Manufacturing & Services,,, 0.98 ,Manufacturing
Hungary,VCRDA-DRINK Kisvárdai Szesz és Üditô Italipari Rt.,1994,Manufacturing & Services,,, 1.02 ,Manufacturing
Hungary,Kalocsai Mezôgazdasági Rt.,1994,Manufacturing & Services,,, 1.06 ,Agriculture
Hungary,Pécsi Mezôgazdasági Élelmiszerip. Kert. T. Sz. K. RT,1994,Manufacturing & Services,,, 1.00 ,Agriculture
Hungary,Mohácsi Vasöntöde Ipari és Kereskedelmi Kft.,1994,Manufacturing & Services,,, 1.20 ,Manufacturing
Hungary,SOKORO Ipari és Kereskedelmi Kft.,1994,Manufacturing & Services,,, 1.23 ,Manufacturing
Hungary,VITA-SÜTÖ Kft.,1994,Manufacturing & Services,,, 1.24 ,Manufacturing
Hungary,KIPSZER Tüzihorganyzó és Vasszerkezetgyártó Kft.,1994,Manufacturing & Services,,, 1.26 ,Manufacturing
Hungary,HANTECH Gépgyártó és Forgalmazó Kft.,1994,Manufacturing & Services,,, 1.28 ,Manufacturing
Hungary,Rubin Ruházati Kft.,1994,Manufacturing & Services,,, 1.28 ,Manufacturing
Hungary,Pécsi Nyomda Rt.,1994,Manufacturing & Services,,, 1.29 ,Manufacturing
Hungary,Szegedi Vas- és Fémöntöde Kft,1994,Manufacturing & Services,,, 1.30 ,Manufacturing
Hungary,Bácska Bútoripari Rt.,1994,Manufacturing & Services,,, 1.35 ,Manufacturing
Hungary,Zemplén Bútoripari Kft.,1994,Manufacturing & Services,,, 1.39 ,Manufacturing
Hungary,"Csepregi Agrár, Élelmiszeripari Kft.",1994,Manufacturing & Services,,, 1.40 ,Agriculture
Hungary,Feketesár Mezôgazdasági Termelô Fejlesztô Szolgáltató Rt.,1994,Manufacturing & Services,,, 1.00 ,Agriculture
Hungary,Vasi Húsipari Rt,1994,Manufacturing & Services,,, 1.46 ,Manufacturing
Hungary,Szegedi Ruhagycr Rt.,1994,Manufacturing & Services,,, 1.00 ,Manufacturing
Hungary,Kiskunhalasi Faipari Rt.,1994,Manufacturing & Services,,, 1.57 ,Manufacturing
Hungary,ARVIT Hltôipari Rt.,1994,Manufacturing & Services,,, 1.58 ,Manufacturing
Hungary,Szegedi Mezôgazdasági Termelô és Szolgáltató Kft.,1994,Manufacturing & Services,,, 1.58 ,Agriculture
Hungary,STATIQUM Kiadó és Nyomda Kft.,1994,Manufacturing & Services,,, 1.59 ,Manufacturing
